src,dst
529240,529364
529363,529364
529239,529365
529364,529365
529839,529369
530166,529369
529064,529370
529369,529370
398595,398304
399234,398304
399558,398304
398304,398305
398474,398305
398311,398312
398772,398312
398312,398313
398939,398313
397329,398314
397330,398314
398786,398318
400285,398318
397797,398319
398318,398319
398321,398320
398946,398320
350376,350377
361843,350377
350377,350378
360362,350378
350378,350379
357400,350379
350379,350380
361844,350380
350380,350381
362696,350381
350381,350382
355769,350382
363649,350382
350382,350383
363056,350383
350383,350384
360507,350384
350384,350385
363057,350385
350385,350386
362010,350386
350386,350387
359942,350387
350387,350388
362490,350388
350388,350389
363190,350389
350389,350390
359084,350390
350390,350391
363350,350391
350391,350392
363191,350392
350392,350393
356316,350393
350393,350394
359769,350394
266745,267360
267366,267360
267360,267361
267084,267361
267361,267362
268296,267362
267362,267363
268752,267363
266744,267364
267363,267364
267364,267365
267869,267365
267870,267368
268011,267368
267368,267369
268010,267369
267369,267370
267372,267370
267367,267371
267370,267371
445354,445355
446015,445355
398923,398477
400083,398477
398947,398493
399252,398493
398493,398494
397545,398494
398494,398495
398619,398495
398001,398496
398495,398496
397317,398596
398764,398596
398476,398597
398596,398597
529220,529670
529356,529670
398478,398601
398600,398601
529060,529674
529679,529674
529360,529675
529674,529675
529675,529676
530977,529676
529676,529677
530976,529677
529677,529678
530799,529678
397522,398607
398606,398607
529682,529683
530162,529683
529670,529827
530494,529827
527511,529832
530662,529832
397781,398767
398766,398767
398773,398774
400099,398774
398774,398775
399916,398775
398775,398776
398160,398776
398776,398777
397990,398777
398777,398778
400100,398778
397184,398779
398778,398779
396672,398780
398779,398780
396356,398781
398780,398781
398781,398782
400283,398782
529672,529985
530158,529985
529985,529986
530965,529986
529986,529987
530966,529987
529987,529988
529991,529988
529988,529989
530657,529989
529358,529990
529989,529990
529059,529994
529834,529994
529359,529995
529994,529995
529833,529996
529995,529996
529996,529997
530507,529997
398481,398926
398925,398926
530165,530001
530514,530001
400438,398930
398929,398930
398930,398931
401167,398931
530003,530004
530982,530004
529244,530005
530004,530005
529368,530006
530005,530006
530009,530010
530665,530010
529063,530011
530010,530011
529838,530012
530011,530012
528030,530014
530013,530014
530515,530017
531504,530017
529686,530018
530017,530018
530167,530018
529065,530021
530020,530021
530326,530022
530518,530022
528737,530023
530022,530023
530023,530024
530325,530024
529840,530025
530024,530025
528032,530026
530025,530026
314281,314282
313139,314282
267569,268015
267873,268015
529684,530163
530164,530163
399905,399108
399904,399108
398491,399116
399251,399116
531798,530326
532273,530326
503827,503458
504579,503458
266896,268270
267083,268270
267365,268271
268270,268271
269258,268271
268271,268272
270824,268272
268272,268273
271360,268273
268273,268274
269758,268274
268274,268275
270617,268275
268275,268276
272570,268276
268276,268277
274939,268277
268277,268278
272571,268278
268278,268279
274940,268279
268279,268280
275537,268280
268280,268281
272352,268281
268281,268282
276198,268282
268282,268283
276199,268283
268283,268284
276197,268284
268284,268285
277320,268285
268285,268286
278015,268286
268286,268287
279166,268287
268287,268288
280690,268288
268288,268289
280034,268289
268289,268290
282247,268290
268290,268291
280331,268291
268291,268292
282248,268292
268292,268293
281920,268293
268293,268294
279002,268294
268294,268295
280860,268295
282249,268295
399561,399416
398609,399416
400270,399417
400271,399417
401170,399417
529669,530492
530491,530492
529046,530493
530492,530493
531650,530494
530493,530494
529983,530495
531491,530495
399246,399425
400446,399425
399117,399428
399568,399428
528525,530501
530500,530501
398322,399430
