node_id,q,h0,h1,h2,h3,h4
500425,0.001,0.0,0.1,0.0,0.0,0.0
500426,0.001,0.0,0.1,0.0,0.0,0.0
500427,0.001,0.0,0.1,0.0,0.0,0.0
500428,0.001,0.0,0.1,0.0,0.0,0.0
500429,0.001,0.0,0.1,0.0,0.0,0.0
500434,0.001,0.0,0.1,0.0,0.0,0.0
500435,0.001,0.0,0.1,0.0,0.0,0.0
500436,0.001,0.0,0.1,0.0,0.0,0.0
500437,0.001,0.0,0.1,0.0,0.0,0.0
500438,0.001,0.0,0.1,0.0,0.0,0.0
500439,0.001,0.0,0.1,0.0,0.0,0.0
500440,0.001,0.0,0.1,0.0,0.0,0.0
500441,0.001,0.0,0.1,0.0,0.0,0.0
500442,0.001,0.0,0.1,0.0,0.0,0.0
500443,0.001,0.0,0.1,0.0,0.0,0.0
500445,0.001,0.0,0.1,0.0,0.0,0.0
500571,0.001,0.0,0.1,0.0,0.0,0.0
500572,0.001,0.0,0.1,0.0,0.0,0.0
500573,0.001,0.0,0.1,0.0,0.0,0.0
500574,0.001,0.0,0.1,0.0,0.0,0.0
500575,0.001,0.0,0.1,0.0,0.0,0.0
500576,0.001,0.0,0.1,0.0,0.0,0.0
500577,0.001,0.0,0.1,0.0,0.0,0.0
500578,0.001,0.0,0.1,0.0,0.0,0.0
500579,0.001,0.0,0.1,0.0,0.0,0.0
500580,0.001,0.0,0.1,0.0,0.0,0.0
500581,0.001,0.0,0.1,0.0,0.0,0.0
500582,0.001,0.0,0.1,0.0,0.0,0.0
500583,0.001,0.0,0.1,0.0,0.0,0.0
500776,0.001,0.0,0.1,0.0,0.0,0.0
500777,0.001,0.0,0.1,0.0,0.0,0.0
500778,0.001,0.0,0.1,0.0,0.0,0.0
500779,0.001,0.0,0.1,0.0,0.0,0.0
500780,0.001,0.0,0.1,0.0,0.0,0.0
500781,0.001,0.0,0.1,0.0,0.0,0.0
500782,0.001,0.0,0.1,0.0,0.0,0.0
500783,0.001,0.0,0.1,0.0,0.0,0.0
500784,0.001,0.0,0.1,0.0,0.0,0.0
